query_id,category,exp_a_gated,exp_a_confidence,exp_a_answer_correct,exp_b_answer_correct,exp_a_hit5,exp_b_hit5,exp_a_latency_s,exp_b_latency_s
gs_agent_001,agent,False,8.0,False,True,True,True,0.1,13.07
gs_agent_002,agent,True,0.7,False,True,True,True,39.05,13.04
gs_agent_003,agent,True,0.8,False,False,True,True,26.0,13.04
gs_agent_004,agent,True,1.9,False,False,True,True,24.75,0.79
gs_agent_005,agent,True,3.0,False,False,True,True,60.76,13.1
gs_api_001,api,True,3.3,False,True,True,True,20.38,12.95
gs_api_002,api,False,6.3,True,True,True,True,27.66,13.01
gs_api_003,api,True,6.3,False,False,True,True,24.33,0.87
gs_api_004,api,True,2.9,False,True,True,True,59.51,37.29
gs_api_005,api,True,4.8,False,True,True,True,26.29,0.92
gs_graph_001,graph,True,3.1,False,True,True,True,24.07,13.03
gs_graph_002,graph,True,2.9,False,True,True,True,57.59,37.85
gs_graph_003,graph,False,8.9,True,True,True,True,0.13,13.13
gs_graph_004,graph,True,1.1,False,False,True,False,50.86,1.11
gs_graph_005,graph,True,0.5,False,True,True,True,57.38,0.84
gs_hall_001,hallucination,False,9.8,True,True,True,True,20.17,22.96
gs_hall_002,hallucination,True,0.0,False,True,True,True,24.07,1.08
gs_ingest_001,ingestion,True,2.9,False,False,False,False,22.61,1.23
gs_ingest_002,ingestion,True,1.9,False,True,True,True,31.89,1.2
gs_ingest_003,ingestion,False,8.0,True,True,True,False,0.1,13.07
gs_ingest_004,ingestion,True,1.6,False,True,True,True,19.2,1.21
gs_ingest_005,ingestion,True,1.8,False,True,True,True,24.88,13.02
gs_retrieval_001,retrieval,True,5.5,False,True,True,True,27.13,37.68
gs_retrieval_002,retrieval,True,3.3,False,True,True,True,26.18,0.95
gs_retrieval_003,retrieval,True,2.0,False,True,True,True,31.03,37.54
gs_retrieval_004,retrieval,True,2.4,False,True,True,True,31.62,1.19
gs_retrieval_005,retrieval,False,5.8,True,True,True,True,0.12,0.87
